Castle Wolfenstein;Muse Software;14781;6;0;Castle_Wolfenstein_1983_Muse_Software
Ghosts 'n Goblins;Elite;9186;11;1;Ghosts_n_Goblins_1986_Elite
The Last Ninja (Side A);System 3;7151;7;0;Last_Ninja_The_1987_System_3_Side_A
Choplifter!;Broderbund;5757;4;2;Choplifter_1982_Broderbund_de
River Raid;Activision;5511;5;1;d64_River_Raid_1984_Activision
Burger Time;Interceptor Micros;4892;5;1;Burger_Time_1984_Interceptor_Micros
Sim City;Maxis;4059;6;0;d64_Sim_City_1989_Maxis
A Popples Christmas Adventure;American Greetings;3843;0;0;d64_Popples_Christmas_Adventure_A_1986_American_Greetings
The Last Ninja;System 3;3314;3;0;Last_Ninja_The_1987_System_3
Donkey Kong Bootleg;tware;3301;1;0;Donkey_Kong_Bootleg_19xx_-
Crazy Cars;Titus Software;2905;1;0;Crazy_Cars_1988_Titus_Software
Altered Beast (Side A);Activision;2846;1;0;Altered_Beast_1989_Activision_Side_A
Blue Max;Drean Commodore;2742;3;0;Blue_Max_1985_Drean_Commodore_es
Bards Tale 1;Electronic Arts;2580;5;0;Bards_Tale_1_1985_Electronic_Arts
Space Invaders;Keypunch Software;2574;0;0;d64_Space_Invaders_1983_Keypunch_Software
Gunship;MicroProse;2472;1;0;Gunship_1986_MicroProse
64 Breakout;tware;2329;1;0;64_Breakout_19xx_-
Championship Lode Runner;Broderbund;2156;3;0;Championship_Lode_Runner_1984_Broderbund
Montezuma's Revenge;Parker Brothers;1937;5;0;d64_Montezumas_Revenge_1984_Parker_Brothers
Batman (Side A);Ocean;1835;3;0;Batman_1989_Ocean_Side_A
Gauntlet;U.S. Gold;1829;5;1;Gauntlet_1986_U.S._Gold
Portal (C64 Conversion);Jamie Fuller, Del Seymour, Roy Widding;1826;0;0;portal_v1_ntsc
Turrican II: The Final Fight (Side A)[t +5];Rainbow Arts;1635;3;0;d64_Turrican_II_The_Final_Fight_1991_Rainbow_Arts_Side_A_t_5
1943: The Battle of Midway [h DOM];Capcom;1536;3;0;1943_The_Battle_of_Midway_1988_Capcom_h_DOM
Kung-Fu: The Way of the Exploding Fist;Melbourne House;1529;2;1;Kung-Fu_The_Way_of_the_Exploding_Fist_1985_Melbourne_House
Archon [h Duo Asocciates];Electronic Arts;1500;3;0;Archon_1983_Electronic_Arts_h_Duo_Asocciates
Ghostbusters II [f NTSC Exodus][h CEN & Digital Dungeon];Activision;1489;2;0;Ghostbusters_II_1989_Activision_f_NTSC_Exodus_h_CEN_Digital_Dungeon
Wings of Fury;Broderbund;1458;1;0;d64_Wings_of_Fury_1990_Broderbund
CoverGirl Strip Poker;The Sales Curve;1457;0;0;CoverGirl_Strip_Poker_1992_The_Sales_Curve
Pacman;Donald Burden;1427;2;0;d64_Pacman_1983_Donald_Burden
Back to the Future II;Imageworks;1395;0;0;Back_to_the_Future_II_1990_Imageworks
Pac-Man;Atari;1314;2;0;d64_Pac-Man_1983_Atari
Beach Head 2 [o];Access Software;1270;1;1;Beach_Head_2_1985_Access_Software_o
M.U.L.E.;Electronic Arts;1259;5;0;d64_M.U.L.E._1983_Electronic_Arts
Oregon Trail;tware;1249;2;0;d64_Oregon_Trail_19xx_-
BC's Quest for Tires;Sierra Online;1238;3;0;BCs_Quest_for_Tires_1983_Sierra_Online
Sex Sex Sex (19xx)( );tware;1159;1;0;Sex_Sex_Sex_19xx_-
Rambo First Blood Part II Picture;Ocean;1119;2;0;d64_Rambo_First_Blood_Part_II_Picture_1986_Ocean
Axe of Rage;Epyx;1116;3;0;Axe_of_Rage_1988_Epyx
Kaiser;Ariolasoft;1082;3;0;Kaiser_1985_Ariolasoft_de
Decathlon [h Antirom];Activision;1045;1;0;Decathlon_1983_Activision_h_Antirom
Battleship [h ASS];Fresh;980;1;0;Battleship_1987_Fresh_h_ASS
Karateka [h Dr. Meggle];Broderbund;901;4;0;Karateka_1985_Broderbund_h_Dr._Meggle
Spy Hunter;U.S. Gold;886;1;0;d64_Spy_Hunter_1983_U.S._Gold
Giana Sister's Collection 2 Gitty's Dreams 1;TSD;875;2;0;Giana_Sisters_Collection_2_Gittys_Dreams_1_19xx_TSD
Fort Apocalypse;Synapse Software;869;1;0;Fort_Apocalypse_1982_Synapse_Software
Lode Runner Com.;Doug Smith, Dane Bigham & 4711-Soft;848;3;0;Lode_Runner_Com._19xx_Doug_Smith_Dane_Bigham_4711-Soft
Choplifter [o];Broderbund;818;1;0;Choplifter_1982_Broderbund_o
Oil Imperium (Side A);reLine Software;804;0;0;d64_Oil_Imperium_1994_reLine_Software_de_Side_A
Raid Over Moscow;Access Software;770;5;2;d64_Raid_Over_Moscow_1984_Access_Software
Lord of the Rings III;Mike Lyons & Mike Singleton;756;0;0;Lord_of_the_Rings_III_19xx_Mike_Lyons_Mike_Singleton
MULE;Electronic Arts;745;4;0;d64_MULE_1983_Electronic_Arts
Little Computer People [a137];Activision;733;1;0;Little_Computer_People_1985_Activision_a137
The Last Ninja 2 (Side A);System 3;718;4;0;Last_Ninja_2_The_1988_System_3_Side_A
Double Dragon 1;Melbourne House;712;2;0;Double_Dragon_1_1989_Melbourne_House
Frogger;Sega;709;0;0;Frogger_1981_Sega
Battle Chess (Side A);Interplay;708;1;0;Battle_Chess_1989_Interplay_Side_A
Advanced Pinball Simulator;Codemasters;677;0;0;Advanced_Pinball_Simulator_1989_Codemasters
Bards Tale 1 (Side A)(Boot);Electronic Arts;672;1;0;Bards_Tale_1_1985_Electronic_Arts_Side_A_Boot
Bundesliga Manager;Software 2000;664;2;0;Bundesliga_Manager_1991_Software_2000_de
Street Fighter US Version;Capcom;662;1;0;d64_Street_Fighter_US_Version_1988_Capcom
Airborne Ranger (Side A);MicroProse;634;2;0;Airborne_Ranger_1987_MicroProse_de_Side_A
Out Run;U.S. Gold;632;1;0;d64_Out_Run_1988_U.S._Gold
Elevator Action;Taito;630;1;0;Elevator_Action_1987_Taito
Missile Command;Interceptor Micros;612;0;0;d64_Missile_Command_1983_Interceptor_Micros
Wonderboy;Activision;597;3;0;d64_Wonderboy_1987_Activision
Wizard of Wor;Commodore;593;1;0;d64_Wizard_of_Wor_1983_Commodore
Cauldron II: The Pumpkin Strikes Back [h NO];Palace Software;588;4;0;Cauldron_II_The_Pumpkin_Strikes_Back_1986_Palace_Software_h_NO
Test Drive (Side A);Accolade;579;3;0;d64_Test_Drive_1987_Accolade_Side_A
Mario Bros;Ocean;575;1;0;d64_Mario_Bros_1987_Ocean
Lemmings (Disk 1 of 3 Side A);Psygnosis;570;1;0;Lemmings_1994_Psygnosis_Disk_1_of_3_Side_A
Space-Taxi [h ASS];Tronic;555;2;0;d64_Space-Taxi_1986_Tronic_de_h_ASS
Mission Impossible;Commodore;550;0;0;d64_Mission_Impossible_1981_Commodore
Oregon Trail;tware;539;0;0;d64_Oregon_Trail_19xx_-_de
Kaiser;Ariolasoft;518;1;0;Kaiser_1985_Ariolasoft
Commando 86;Elite;504;2;0;Commando_86_1986_Elite
Amazing Spider Man, The (1990)(ODE)(de es fr it);tware;490;0;0;Amazing_Spider-Man_The_1990_ODE_de-es-fr-it
Red Alert;Mr. Chip Software;478;0;0;d64_Red_Alert_1983_Mr._Chip_Software
Raid On Bungeling Bay;Broderbund;468;4;1;d64_Raid_On_Bungeling_Bay_1984_Broderbund
Zak McKracken and the Alien Mindbenders (Disk 1 of 2 Side A);Lucasfilm;465;1;0;d64_Zak_McKracken_and_the_Alien_Mindbenders_1988_Lucasfilm_de_Disk_1_of_2_Side_A
Duck Tales: The Quest for Gold (Disk 1 of 3 Side A);Disney Software;444;0;0;Duck_Tales_The_Quest_for_Gold_1990_Disney_Software_Disk_1_of_3_Side_A
Racing Destruction Set (Side A);Electronic Arts;433;1;0;d64_Racing_Destruction_Set_1985_Electronic_Arts_Side_A
Shinobi;Virgin Games;432;1;0;d64_Shinobi_1989_Virgin_Games
Candle Burner;Didi;427;0;0;Candle_Burner_2012_Didi
Silent Service;MicroProse;407;1;0;d64_Silent_Service_1985_MicroProse
Grand Prix Circuit;Accolade;403;2;0;Grand_Prix_Circuit_1989_Accolade
Attack of the Mutant Camels;Llamasoft;399;1;0;Attack_of_the_Mutant_Camels_1983_Llamasoft
Jumpman;Hans Zethofe;397;0;0;Jumpman_1984_Hans_Zethofe_de
Bundesliga Manager v2.0;Software 2000;397;2;0;Bundesliga_Manager_v2.0_1991_Software_2000_de
Lotus Esprit Turbo Challenge (Side A);Gremlin Graphics;384;0;0;d64_Lotus_Esprit_Turbo_Challenge_1990_Gremlin_Graphics_Side_A
Mafia;Igelsoft;383;0;0;d64_Mafia_1986_Igelsoft_de
H.E.R.O. El Heroe [h Load 'n' Run];Activision;382;1;0;H.E.R.O._El_Heroe_1984_Activision_es_h_Load_n_Run
Hot Wheels;Epyx;382;1;0;Hot_Wheels_1985_Epyx
Pitfall;Activision;364;0;0;d64_Pitfall_1984_Activision
Battletech (Side A);Infocom;360;1;0;Battletech_1989_Infocom_Side_A
International Karate 1 & 2 & +;System 3;356;1;0;International_Karate_1_2__1987_System_3
Emanuelle (Disk 1 of 2 Side A);A&S Software;356;1;0;Emanuelle_1988_AS_Software_de_Disk_1_of_2_Side_A
Blue Max 2001;Synapse Software;353;2;0;Blue_Max_2001_1984_Synapse_Software
Erotika II (Side A);A&S Software;337;1;0;Erotika_II_198x_AS_Software_de_Side_A
2nd Reality;Smash Designs;331;0;0;2nd_Reality_1997_Smash_Designs_Side_A
Mail Order Monsters;Electronic Arts;330;2;0;d64_Mail_Order_Monsters_1985_Electronic_Arts
Oil Imperium (Side A);reLine Software;322;1;0;d64_Oil_Imperium_1994_reLine_Software_Side_A
Earth Orbit Station (Disk 1 of 2 Side A);Electronic Arts;312;0;0;Earth_Orbit_Station_1987_Electronic_Arts_Disk_1_of_2_Side_A
Gertrud's Game H;tware;298;1;0;Gertruds_Game_H_19xx_-
Skate or Die! (Side A);Electronic Arts;295;3;0;d64_Skate_or_Die_1987_Electronic_Arts_Side_A
International Soccer Mondiale '86 [h Negro Roberto];Commodore;294;1;0;International_Soccer_Mondiale_86_1983_Commodore_es_h_Negro_Roberto
Super Pipeline;Taskset;285;0;0;d64_Super_Pipeline_1983_Taskset
Forbidden Forest;Cosmi;285;1;0;Forbidden_Forest_1983_Cosmi
Bards Tale 1 (Disk 1 of 2 Side A);Electronic Arts;269;0;0;Bards_Tale_1_1985_Electronic_Arts_Disk_1_of_2_Side_A
Pole Position;Atari;269;1;0;d64_Pole_Position_1984_Atari
BC II: Grog's Revenge;U.S. Gold;267;1;0;BC_II_Grogs_Revenge_1984_U.S._Gold
Choplifter [t +4 + cr REM];Broderbund;266;1;0;Choplifter_1982_Broderbund_t_4_cr_REM
Zaxxon;Synapse Software;263;2;0;d64_Zaxxon_1984_Synapse_Software_es
Alien;Argus Press;259;0;0;Alien_1984_Argus_Press
Zaxxon [h Hibisch];Synapse Software;255;0;0;d64_Zaxxon_1984_Synapse_Software_h_Hibisch
Breakthrough in the Ardennes v1.1;SSI;254;0;0;Breakthrough_in_the_Ardennes_v1.1_1984_SSI
Manic Miner [h RAP];Software Projects;254;1;0;d64_Manic_Miner_1983_Software_Projects_h_RAP
Test Drive II: The Duel (Master Disk);Accolade;252;0;0;d64_Test_Drive_II_The_Duel_1989_Accolade_Master_Disk
Soccer;Commodore;250;0;0;d64_Soccer_1983_Commodore
Conan;Datasoft;246;0;0;Conan_1984_Datasoft_it
Fugger;Bomico;241;1;0;Fugger_1988_Bomico_de
Porno Adventure;tware;240;0;0;d64_Porno_Adventure_19xx_-
Guardians of Space;TND;239;0;0;Guardians_of_Space_2012_TND
Rainbow Islands;Taito;239;0;0;d64_Rainbow_Islands_1990_Taito
Ultima III: Exodus (Side A);Origin Systems;234;2;0;d64_Ultima_III_Exodus_1984_Origin_Systems_Side_A
Flight Simulator II;Sublogic;233;0;0;Flight_Simulator_II_1984_Sublogic
Bionic Commando (US Version);Capcom;233;0;0;Bionic_Commando_US_Version_1988_Capcom
Lode Runner Tape Version;tware;232;1;0;Lode_Runner_Tape_Version_1983_-
Indiana Jones in the Lost Kingdom;Mindscape;225;2;0;Indiana_Jones_in_the_Lost_Kingdom_1984_Mindscape
Archon 2 Adept [h Jedi];Electronic Arts;224;0;0;Archon_2_Adept_1984_Electronic_Arts_h_Jedi
The Hobbit (Side A);Melbourne House;218;0;0;Hobbit_The_1983_Melbourne_House_Side_A
Adventure #02 Pirate Adventure;Scott Adams;210;0;0;Adventure_02_Pirate_Adventure_1985_Scott_Adams
Aliens;D. Kinder;209;0;0;Aliens_198x_Kinder_D.
Elvira: Mistress of the Dark (Disk 1 of 3 Side A);Flair Software;205;0;0;Elvira_Mistress_of_the_Dark_1991_Flair_Software_cs_Disk_1_of_3_Side_A
Giana Sister's Collection 1 Giana Sisters;TSD;205;1;0;Giana_Sisters_Collection_1_Giana_Sisters_19xx_TSD
Chess;tware;204;0;0;Chess_19xx_-
Super Kong;tware;204;0;0;d64_Super_Kong_19xx_-
Wizard of Wor [h Oleander+Angels];Commodore;200;0;0;d64_Wizard_of_Wor_1983_Commodore_h_OleanderAngels
Stroker;Magic Carpet Software;197;0;0;d64_Stroker_1983_Magic_Carpet_Software
Zork I: The Great Underground Empire;Infocom;196;1;0;d64_Zork_I_The_Great_Underground_Empire_1983_Infocom
The Castles of Doctor Creep;Broderbund;196;1;0;Castles_of_Doctor_Creep_The_1984_Broderbund
Tapper;U.S. Gold;195;1;0;d64_Tapper_1984_U.S._Gold
Star Wars;Atari;195;1;0;d64_Star_Wars_1983_Atari
Gunship (Side A);MicroProse;195;0;0;Gunship_1986_MicroProse_Side_A
Kaiser 2;Ariolasoft;193;0;0;Kaiser_2_19xx_Ariolasoft_de
Tubular Bells;CRL;191;0;0;d64_Tubular_Bells_1986_CRL
Friday the 13th;Domark;191;0;0;Friday_the_13th_1985_Domark
Pitfall 2 Lost Caverns;Activision;189;1;0;d64_Pitfall_2_Lost_Caverns_1984_Activision
1.000 Miler;Loadstar;189;0;0;1.000_Miler_1987_Loadstar
Decathlon [h 007];Activision;188;1;0;Decathlon_1983_Activision_h_007
Seven Cities of Gold (Side A);Electronic Arts;187;2;0;d64_Seven_Cities_of_Gold_1984_Electronic_Arts_Side_A
Zak McKracken and the Alien Mindbenders (Disk 1 of 2 Side A)(Boot);Lucasfilm;184;1;0;d64_Zak_McKracken_and_the_Alien_Mindbenders_1988_Lucasfilm_Disk_1_of_2_Side_A_Boot
Moon Patrol;Avalon Hill;180;0;0;d64_Moon_Patrol_1983_Avalon_Hill
